Item,Qty,Reference(s),Value,Manufacturer,mpn,populate
1,6,"C1, C2, C3, C9, C10, C11",47uF,KYOCERA AVX,KGM21AR51A476MU,1
2,2,"C4, C5",100nF,KYOCERA AVX,KGM15AR51H104KT,1
3,1,C6,10uF,KYOCERA AVX,KGM15CR51A106MT,1
4,1,C7,680pF,KYOCERA AVX,KGM15AR71H681JT,1
5,1,C8,30pF,KYOCERA AVX,06031A300J4T2A,1
6,1,C12,10000pF,KYOCERA AVX,KGM15AR51E103KT,1
7,1,C13,10uF,KEMET,EDK106M025A9BAA,1
8,1,C14,2.2uF,KYOCERA AVX,KGM15BR51A225MT,1
9,3,"D1, D2, D3",1N5819HW,Diodes Incorporated,1N5819HW-7-F,1
10,1,J1,BH-AAA,Keystone Electronics,2479,0
11,1,J2,S2B-PH-SM4,JST Sales America Inc.,S2B-PH-SM4-TB,1
12,2,"J4, J5",Terminal Block,Phoenix Contact,1935161,0
13,1,J6,STEMMA-QT,JST Sales America Inc.,SM04B-SRSS-TB,1
14,1,L1,1uH,Vishay Dale,IHHP1008ABER1R0M01,1
15,1,R1,240K,Vishay Dale,CRCW0603240KFKEA,1
16,1,R2,76.8K,Vishay Dale,CRCW060376K8FKEA,1
17,1,R3,36.5K,Vishay Dale,CRCW060336K5FKEAC,1
18,1,R4,110K,Vishay Dale,CRCW0603110KFKEB,1
19,1,R5,316K,Vishay Dale,CRCW0603316KFKEB,1
20,1,R6,120mR,Vishay Dale,WFC1206R1200FE66,1
21,1,R7,10K,Vishay Dale,CRCW060310K0JNEB,1
22,1,R8,10K,Vishay Dale,CRCW060310K0JNEB,1
23,2,"R9, R10",0R,Vishay Dale,CRCW06030000Z0EA,1
24,1,SW1,SS-12D07,C&K,SS-12D07-VG 4 NS GA PA,0
25,4,"SW2, SW3, SW4, SW5",PTS647SM38SMTR2LFS,C&K,PTS 647 SM38 SMTR2 LFS,1
26,1,U1,XIAO RP2040,Seeed Studio,XIAO RP2040,0
27,1,U2,TPS61089x,Texas Instruments,TPS61089RNRR,1
28,1,U3,DRV8833, Texas Instruments ,DRV8833RTYR,1
29,1,U7,HS96L03W2C03,SHENZHEN HANSHENG INDUSTRAIL CO.,HS96L03W2C03,0
