Item,Qty,Reference(s),Value,Manufacturer,mpn,populate
1,3,"C1, C2, C3",2.2uF,KYOCERA AVX,KGM15BR51A225MT,1
2,2,"C4, C8",100nF,KYOCERA AVX,KGM15AR51H104KT,1
3,3,"C5, C6, C7",10uF,KYOCERA AVX,KGM15CR51A106MT,1
4,3,"D3, D4, D5",Orange,Lite-On Inc.,LTST-C230KFKT,1
5,1,J1,STEMMA-QT,JST Sales America Inc.,SM04B-SRSS-TB,1
6,1,Q1,BSS138DWQ,Diodes Incorporated,BSS138DWQ-7,1
7,1,Q2,2N7002K,onsemi,2N7002KT1G,1
8,1,R1,10K,Vishay Dale,CRCW060310K0JNEB,1
9,1,R3,680R,Vishay Dale,CRCW0603680RJNEA,1
10,6,"R4, R5, R6, R7, R8, R9",10K,Vishay Dale,CRCW060310K0JNEB,1
11,3,"R10, R12, R14",100R,Vishay Dale,CRCW0603100RJNEB,1
12,3,"R11, R13, R15",68K1,Vishay Dale,CRCW060368K1FKEA,1
13,3,"R16, R17, R18",68R,Vishay Dale,CRCW060368R0FKEA,1
14,1,U1,LTC3203,Analog Devices Inc.,LTC3203BEDD#PBF,1
15,1,U2,MCP4018T,Microchip Technology,MCP4018T-103E/LT,1
16,1,U3,AP2112K-3.3,Diodes Incorporated,AP2112K-3.3TRG1,1
17,1,U4,PCA9536xxx,Texas Instruments,PCA9536DGKR,1
18,3,"U5, U6, U7",QRE1113,Onsemi,QRE1113GR,1
19,1,U8,SN74HCS125xxx,Texas Instruments,SN74HCS125PWR,1
